Date,Game,Outcome,Platform,Odds or Price,Amount Bet,Payout,Profit,Profit Pct,Notes
2025-03-10,Poetl O/U 8.5 Rebs,Poetl O 8.5 Rebs,Polymarket,.37,388.11,1048.95,48.95,4.90%,Arb with DraftKings Under leg
2025-03-10,Poetl O/U 8.5 Rebs,Poetl U 8.5 Rebs,DraftKings,1.71,611.89,1048.95,48.95,4.90%,Arb with Polymarket Over leg
